Reference Contrat;N° COMPTEUR;Ancien index;Nouvel index;consommation;date de relève;periode
22401024;;926;1007;81;;201811
22401002;;9803;10225;422;;201811
22401005;;588;604;16;;201811
22401003;;6005;6185;180;;201811
22401007;;2425;2835;410;;201811
22401009;;3546;3730;184;;201811
22401010;;3104;3197;93;;201811
22401008;;7594;8178;584;;201811
22401014;;1608;1791;183;;201811
22401023;;2766;2973;207;;201811
22401015;;234;245;11;;201811
22401027;;761;804;43;;201811
22401033;;881;943;62;;201811
22401031;;397;426;29;;201811
22401030;;1362;1533;171;;201811
22401034;;836;847;11;;201811
22401036;;506;627;121;;201811
22401037;;175;195;20;;201811
24329088;;726;816;90;;201811
22401038;;218;254;36;;201811
24329103;;1077;1195;118;;201811
24329099;;1524;1565;41;;201811
24329098;;1203;1313;110;;201811
24329104;;2196;2370;174;;201811
24329096;;221;299;78;;201811
24329101;;1176;1264;88;;201811
24329100;;2483;2717;234;;201811
24329102;;925;1060;135;;201811
24329105;;1302;1409;107;;201811
24329038;;2826;3125;299;;201811
24329092;;2224;2414;190;;201811
24329107;;0;61;61;;201811
41201032;;2096;2128;32;;201811
24329037;;4485;4946;461;;201811
41201025;;1984;2019;35;;201811
41201031;;4198;4332;134;;201811
41201023;;4082;4237;155;;201811
41201027;;2397;2436;39;;201811
41201024;;5495;5560;65;;201811
41201026;;5446;5654;208;;201811
41201034;;4253;4314;61;;201811
41201028;;4134;4256;122;;201811
41201013;;5505;5645;140;;201811
41201033;;4707;4798;91;;201811
41201012;;5582;5792;210;;201811
41201062;;4389;4473;84;;201811
41201029;;5157;5351;194;;201811
41201035;;3925;4040;115;;201811
41201037;;1929;1940;11;;201811
41201038;;1380;1470;90;;201811
41201039;;3775;3934;159;;201811
41201040;;6510;6685;175;;201811
41201044;;2444;2520;76;;201811
41201041;;1722;1737;15;;201811
41201015;;6494;6727;233;;201811
41201042;;1035;1071;36;;201811
41201043;;3418;3464;46;;201811
41201036;;4802;4811;9;;201811
41201048;;1756;1855;99;;201811
41201046;;3608;3666;58;;201811
41201050;;6031;6125;94;;201811
41201051;;2864;2969;105;;201811
41201052;;2474;2529;55;;201811
41201047;;8328;8561;233;;201811
41201053;;3550;3593;43;;201811
41201055;;1951;2053;102;;201811
41201054;;1498;1585;87;;201811
41201049;;1351;1390;39;;201811
41201057;;2759;2874;115;;201811
41201059;;762;783;21;;201811
41201014;;4693;4806;113;;201811
41201016;;3588;3671;83;;201811
41201065;;2762;2962;200;;201811
41201060;;4372;4547;175;;201811
41201064;;2056;2136;80;;201811
41201069;;2263;2372;109;;201811
41201061;;1077;1155;78;;201811
41201072;;735;785;50;;201811
41201017;;1303;1355;52;;201811
41201020;;1331;1361;30;;201811
41201068;;1479;1590;111;;201811
41201063;;899;981;82;;201811
41201070;;371;400;29;;201811
41201066;;540;553;13;;201811
41201071;;536;597;61;;201811
41201080;;1586;1660;74;;201811
41201078;;2237;2314;77;;201811
41201067;;3344;3527;183;;201811
41201077;;297;320;23;;201811
41201081;;4193;4491;298;;201811
41201009;;1513;1711;198;;201811
41201087;;907;994;87;;201811
41201095;;568;596;28;;201811
41201094;;556;651;95;;201811
41201084;;64;93;29;;201811
41201093;;486;493;7;;201811
41201091;;258;327;69;;201811
