ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
24309048;24309048-int;1810;2032;222;25/02/2021;202104;60;DOM
24309050;24309050-int;460;490;30;25/02/2021;202104;60;DOM
24309051;24309051-int;1972;2369;397;25/02/2021;202104;60;DOM
24309052;24309052-int;27;40;13;25/02/2021;202104;60;DOM
24309053;24309053-int;312;371;59;25/02/2021;202104;60;DOM
24309054;24309054-int;779;1018;239;25/02/2021;202104;60;DOM
24309055;24309055-int;41;43;2;25/02/2021;202104;60;DOM
24309056;24309056-int;1070;1337;267;25/02/2021;202104;60;DOM
24309057;24309057-int;570;638;68;25/02/2021;202104;60;DOM
24309058;24309058-int;507;578;71;25/02/2021;202104;60;DOM
24309059;24309059-int;1651;1711;60;25/02/2021;202104;60;DOM
24309060;24309060-int;435;477;42;25/02/2021;202104;60;DOM
24309065;24309065-int;106;109;3;25/02/2021;202104;60;DOM
24309066;24309066-int;104;115;11;25/02/2021;202104;60;DOM
24309067;24309067-int;511;588;77;25/02/2021;202104;60;DOM
24309069;24309069-int;3024;3420;396;25/02/2021;202104;60;DOM
24309070;24309070-int;86;122;36;25/02/2021;202104;60;DOM
24309071;24309071-int;1040;1320;280;25/02/2021;202104;60;DOM
24309072;24309072-int;105;144;39;25/02/2021;202104;60;DOM
24309074;24309074-int;6150;6897;747;25/02/2021;202104;60;PROD
24309075;24309075-int;6002;6390;388;25/02/2021;202104;60;DOM
24309076;24309076-int;160;210;50;25/02/2021;202104;60;DOM
24309077;24309077-int;42;73;31;25/02/2021;202104;60;DOM
24309078;24309078-int;100;288;188;25/02/2021;202104;60;PROD
24309079;24309079-int;23;29;6;25/02/2021;202104;60;DOM
24309084;37219575562-6;198;246;48;25/02/2021;202104;60;PROD
24329037;24329037-int;13525;13644;119;25/02/2021;202104;60;PROD
24329038;24329038-int;12168;12594;426;25/02/2021;202104;60;PROD
24329041;24329041-int;2600;2807;207;25/02/2021;202104;60;DOM
24329043;24329043-int;222;244;22;25/02/2021;202104;60;DOM
24329050;37219575646-7;9;21;12;25/02/2021;202104;60;DOM
24329051;24329051-int;65;87;22;25/02/2021;202104;60;DOM
24329054;37219575536-4;8;12;4;25/02/2021;202104;60;DOM
24329057;24329057-int;28;39;11;25/02/2021;202104;60;DOM
24329059;24329059-int;38;44;6;25/02/2021;202104;60;DOM
24329061;37219575604-6;18;26;8;25/02/2021;202104;60;DOM
24329062;24329062-int;182;299;117;25/02/2021;202104;60;DOM
24329065;24329065-int;38;58;20;25/02/2021;202104;60;DOM
24329066;24329066-int;328;376;48;25/02/2021;202104;60;DOM
24329067;37219563758-4;167;200;33;25/02/2021;202104;60;DOM
24329072;24329072-int;34;48;14;25/02/2021;202104;60;DOM
24329074;24329074-int;135;157;22;25/02/2021;202104;60;DOM
24329076;24329076-int;21;34;13;25/02/2021;202104;60;DOM
24329082;24329082-int;370;677;307;25/02/2021;202104;60;DOM
24329088;170809-0324;1508;1556;48;25/02/2021;202104;60;DOM
24329089;37219575679-8;31;40;9;25/02/2021;202104;60;DOM
24329091;24329091-int;2717;2930;213;25/02/2021;202104;60;DOM
24329092;24329092-int;6432;6463;31;25/02/2021;202104;60;PROD
24329094;24329094-int;2635;2983;348;25/02/2021;202104;60;DOM
24329096;170809-0377;2389;2459;70;25/02/2021;202104;60;DOM
24329098;24329098-int;4065;4223;158;25/02/2021;202104;60;DOM
24329099;170809-0378;2311;2347;36;25/02/2021;202104;60;DOM
24329100;170809-0376;6793;6971;178;25/02/2021;202104;60;DOM
24329101;24329101-int;4129;4301;172;25/02/2021;202104;60;DOM
24329102;24329102-int;3794;3969;175;25/02/2021;202104;60;DOM
24329103;24329103-int;1941;1973;32;25/02/2021;202104;60;DOM
24329104;150303-0101;6394;6394;0;25/02/2021;202104;60;PROD
24329105;170809-0286;4422;4517;95;25/02/2021;202104;60;DOM
24329107;24329107-int;2340;2466;126;25/02/2021;202104;60;DOM
24329108;24329108-int;525;589;64;25/02/2021;202104;60;PROD
24329110;24329110-int;455;522;67;25/02/2021;202104;60;DOM
24329111;24329111-int;138;161;23;25/02/2021;202104;60;DOM
24329112;24329112-int;286;298;12;25/02/2021;202104;60;DOM
24329113;24329113-int;1176;1281;105;25/02/2021;202104;60;DOM
24329115;24329115-int;50;57;7;25/02/2021;202104;60;DOM
24340001;24340001-int;1221;1272;51;25/02/2021;202104;60;DOM
24340002;24340002-int;46;49;3;25/02/2021;202104;60;DOM
24340006;24340006-int;382;423;41;25/02/2021;202104;60;DOM
24340007;24340007-int;146;160;14;25/02/2021;202104;60;DOM
24340010;24340010-int;159;180;21;25/02/2021;202104;60;DOM
24340014;24340014-int;114;118;4;25/02/2021;202104;60;DOM
24340015;24340015-int;76;84;8;25/02/2021;202104;60;DOM
24340017;24340017-int;142;156;14;25/02/2021;202104;60;DOM
24340019;24340019-int;245;256;11;25/02/2021;202104;60;DOM
24340023;24340023-int;141;149;8;25/02/2021;202104;60;DOM
24340024;24340024-int;2451;2521;70;25/02/2021;202104;60;DOM
24340026;24340026-int;5;12;7;25/02/2021;202104;60;DOM
