ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
22531034;687324;0;4;4;28/10/2020;202010;60;DOM
22531040;686904;0;361;361;28/10/2020;202010;60;DOM
22531041;686094;0;16;16;28/10/2020;202010;60;DOM
22523070;37219574557-7;0;0;0;28/10/2020;202010;60;DOM
22501072;37219567080-9;0;37;37;28/10/2020;202010;60;DOM
22501115;37219576370-3;0;3;3;28/10/2020;202010;60;DOM
22501120;37219567122-9;0;7;7;28/10/2020;202010;60;DOM
22501121;37219576826-4;0;4;4;28/10/2020;202010;60;DOM
22501129;37219566991-8;0;16;16;28/10/2020;202010;60;DOM
22501143;37219576503-9;0;12;12;28/10/2020;202010;60;DOM
22501144;37219565704-6;0;8;8;28/10/2020;202010;60;DOM
22501145;37219565845-7;0;0;0;28/10/2020;202010;60;DOM
22501150;37219576263-0;0;0;0;28/10/2020;202010;60;DOM
22501151;37219576248-1;0;3;3;28/10/2020;202010;60;DOM
22501171;37219576578-1;0;24;24;28/10/2020;202010;60;DOM
22501156;37219567049-4;0;7;7;28/10/2020;202010;60;DOM
22501160;37219576230-9;0;7;7;28/10/2020;202010;60;DOM
22501161;37219564541-1;0;16;16;28/10/2020;202010;60;DOM
22501169;37219576552-6;0;3;3;28/10/2020;202010;60;DOM
22501170;37219576852-3;0;16;16;28/10/2020;202010;60;DOM
22501173;37219576560-9;0;6;6;28/10/2020;202010;60;DOM
22501174;37219567247-4;0;0;0;28/10/2020;202010;60;DOM
22501175;37219565803-6;0;3;3;28/10/2020;202010;60;DOM
22501176;37219563634-7;0;1;1;28/10/2020;202010;60;DOM
22501177;37219567106-2;0;4;4;28/10/2020;202010;60;DOM
22501178;37219567254-0;0;6;6;28/10/2020;202010;60;DOM
22501180;3721957625-6;0;62;62;28/10/2020;202010;60;DOM
22501181;37219576610-2;0;4;4;28/10/2020;202010;60;DOM
22501182;37219565837-4;0;7;7;28/10/2020;202010;60;DOM
22501183;37219576362-0;0;31;31;28/10/2020;202010;60;DOM
22501184;37219576644-1;0;12;12;28/10/2020;202010;60;DOM
22501186;37219565092-6;0;10;10;28/10/2020;202010;60;DOM
22501185;37219576768-8;0;12;12;28/10/2020;202010;60;DOM
22501188;37219577048-4;0;2;2;28/10/2020;202010;60;DOM
22501065;37219564772-4;0;27;27;28/10/2020;202010;60;DOM
22501026;37219565027-2;0;12;12;28/10/2020;202010;60;DOM
22308119;37219563162-9;0;15;15;22/10/2020;202010;60;DOM
22308138;37219563105-3;0;20;20;22/10/2020;202010;60;DOM
22308217;37219562834-4;0;14;14;22/10/2020;202010;60;DOM
22308219;37219572957-1;0;24;24;22/10/2020;202010;60;DOM
22308237;37219572084-6;0;45;45;22/10/2020;202010;60;DOM
22308238;37219572973-8;0;65;65;22/10/2020;202010;60;DOM
22308240;37219582849-4;0;25;25;22/10/2020;202010;60;DOM
22308242;37219563702-5;0;27;27;22/10/2020;202010;60;DOM
22308244;37219575463-7;0;54;54;22/10/2020;202010;60;DOM
22308241;37219572999-3;0;15;15;22/10/2020;202010;60;DOM
22308248;37219572940-7;0;53;53;22/10/2020;202010;60;DOM
24329065;37219575547-7;0;25;25;22/10/2020;202010;60;DOM
24329050;37219575646-7;0;3;3;22/10/2020;202010;60;DOM
