ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
11422136;82449588;618;774;156;28/10/2020;202010;60;DOM
11422048;82368007;714;749;35;28/10/2020;202010;60;DOM
11422140;82449094;47;52;5;28/10/2020;202010;60;DOM
11422124;37219570431;58;83;25;28/10/2020;202010;60;DOM
11422049;82368403;1594;1718;124;28/10/2020;202010;60;DOM
11422047;82368271;240;322;82;28/10/2020;202010;60;DOM
11422061;82448558;1329;1476;147;28/10/2020;202010;60;DOM
11422034;82369727;588;607;19;28/10/2020;202010;60;DOM
11422091;82449219;55;78;23;28/10/2020;202010;60;DOM
11422151;82448661;988;1193;205;28/10/2020;202010;60;DOM
11422156;82449093;60;63;3;28/10/2020;202010;60;DOM
11422030;1604213861;227;247;20;28/10/2020;202010;60;DOM
11422072;82449310;1312;1401;89;28/10/2020;202010;60;DOM
11422106;82367967;991;1029;38;28/10/2020;202010;60;DOM
11422019;141826440;2150;2332;182;28/10/2020;202010;60;DOM
11422166;37219560101;667;836;169;28/10/2020;202010;60;DOM
11422076;82368724;1980;2122;142;28/10/2020;202010;60;DOM
11422025;82449821;41;50;9;28/10/2020;202010;60;DOM
11422147;82450513;98;105;7;28/10/2020;202010;60;DOM
11422013;141826462;2393;2480;87;28/10/2020;202010;60;DOM
11422139;82450466;12;14;2;28/10/2020;202010;60;DOM
11422031;14250515294;2167;2518;351;28/10/2020;202010;60;DOM
11422017;141826365;1202;1285;83;28/10/2020;202010;60;DOM
11422122;82368592;11;12;1;28/10/2020;202010;60;DOM
11422086;82368388;522;753;231;28/10/2020;202010;60;DOM
11422029;141826437;76;86;10;28/10/2020;202010;60;DOM
11422022;3290;2019;2119;100;28/10/2020;202010;60;DOM
11422158;37219572072;0;0;0;28/10/2020;202010;60;DOM
11422011;4806;4727;4943;216;28/10/2020;202010;60;DOM
11422033;14250516573;5120;5480;360;28/10/2020;202010;60;DOM
11422110;41236428;10586;12334;1748;28/10/2020;202010;30;PRO
11422144;82449155;642;875;233;28/10/2020;202010;60;DOM
11422085;82448961;104;161;57;28/10/2020;202010;60;DOM
11422159;37219572122;93;234;141;28/10/2020;202010;60;DOM
11422008;4661;2887;3012;125;28/10/2020;202010;60;DOM
11422092;82362291;349;401;52;28/10/2020;202010;60;DOM
11422056;82367955;1005;1024;19;28/10/2020;202010;60;DOM
11422184;37219570746;0;57;57;28/10/2020;202010;60;DOM
11422087;82369751;471;538;67;28/10/2020;202010;60;DOM
11422020;5776;3330;3503;173;28/10/2020;202010;60;DOM
11422162;37219560267;445;570;125;28/10/2020;202010;60;DOM
11422045;82368609;183;194;11;28/10/2020;202010;60;DOM
